Session Time,Completed Step
23.192026,Pour Broth
50.197544,Add Beef
52.074524,Add Beef
53.77142,Add Beef
55.351456,Add Beef
63.758881,Add Beef
65.247513,Add Beef
66.794029,Add Beef
68.204056,Add Beef
84.723625,Add Onion
86.735695,Add Onion
88.194519,Add Onion
89.956123,Add Onion
105.465714,Add Tomtato
107.209259,Add Tomtato
108.798393,Add Tomtato
110.253914,Add Tomtato
127.583656,Add Potato
129.171143,Add Potato
130.472595,Add Potato
131.75264,Add Potato
155.20047,Add Carrot
156.732452,Add Carrot
158.1996,Add Carrot
159.655106,Add Carrot
161.066803,Add Carrot
162.522278,Add Carrot
164.117676,Add Carrot
165.586578,Add Carrot
172.157959,Add pepper
180.386261,Add Salt
200.094406,Stir Stew
